"enhetstype";"enhetstype_tekst";"enhetstype_tekst_engelsk"
"ADOS";"Administrativ enhet -offentlig sektor";"NULL"
"ANNA";"Annen juridisk person";"Other body corporate"
"ANS";"Ansvarlig selskap med solidarisk ansvar";"General Partnership"
"AS";"Aksjeselskap";"Limited company"
"ASA";"Allmennaksjeselskap";"Public limited company"
"BA";"Selskap med begrenset ansvar";"Company with limited liability"
"BBL";"Boligbyggelag";"House building cooperative"
"BO";"Andre bo";"Other estates"
"BRL";"Borettslag";"Housing cooperative"
"DA";"Ansvarlig selskap med delt ansvar";"Gen. Partn. w. shared liab."
"ENK";"Enkeltpersonforetak";"Sole proprietorship"
"EOFG";"Europeisk økonomisk foretaksgruppe";"European Economic Ent. Group"
"ESEK";"Eierseksjonssameie";"Condominium flat owner"
"FKF";"Fylkeskommunalt foretak";"County municipal bus. ent."
"FLI";"Forening/lag/innretning";"Association/club/organization"
"FYLK";"Fylkeskommune";"County municipality"
"GFS";"Gjensidig forsikringsselskap";"Mutual insurance company"
"IKJP";"Andre ikke-juridiske personer";"Other non-body corporate"
"IKS";"Interkommunalt selskap";"Inter-municipal company"
"KBO";"Konkursbo";"Bankrupt estate"
"KF";"Kommunalt foretak";"Municipal business enterprise"
"KIRK";"Kirkelig fellesråd";"Council of churches"
"KOMM";"Kommune";"Municipality"
"KS";"Kommandittselskap";"Limited partnership"
"KTRF";"Kontorfellesskap";"Joint office"
"NUF";"Norskregistrert utenlandsk foretak";"Foreign comp. reg. in Norway"
"OPMV";"Særskilt oppdelt enhet, jf. mval. § 2-2";"Specially sectioned unit"
"ORGL";"Organisasjonsledd";"Organization section"
"PERS";"Andre enkeltpersoner som registreres i tilknyttet register";"Ind. reg. in aff. reg."
"PK";"Pensjonskasse";"Pension fund"
"PRE";"Partrederi";"Jointly owned shipping company"
"SA";"Samvirkeforetak";"Co-operative"
"SAM";"Tingsrettslig sameie";"Joint own. acc. to law of prop"
"SE";"Europeisk selskap";"European company"
"SF";"Statsforetak";"Public corporation"
"SPA";"Sparebank";"Savings bank"
"STAT";"Staten";"State"
"STI";"Stiftelse";"Foundation"
"SÆR";"Annet foretak iflg. særskilt lov";"Other bus. Enterprises"
"UTBG";"Frivillig registrert utleiebygg";"Vol. reg. of rental premises"
"VIFE";"Virksomhet drevet i fellesskap";"Jointly operated enterprise"
"VPFO";"Verdipapirfond";"Unit trusts"
